the number of spring coils,the outside diameter of the spring,the spring wire diameter,minimize the volume of spring steel wire which is used to manufacture the spring,the sum of the four constraint violations
37.08496777532165,13.170364612350065,0.4375,242.5818334021146,1149.3536888206343
24.111734027464014,15.118955812218147,0.263,67.0882396985658,8495.206973652148
57.171551455450036,9.921311534476354,0.263,99.9015783241528,5699.1179694402235
28.045078145283057,24.685870084157187,0.394,283.66247737824546,8569.954359665284
15.683931596293515,13.7909183362579,0.4375,117.23615344376631,585.0708021847715
55.662032707601895,27.50790698001165,0.4375,753.4967950551559,15551.735968652443
12.381842224484686,26.507521420809447,0.362,119.99248619772067,6406.862516997516
60.34362134711075,10.959022054963036,0.362,219.69510753270086,2265.376535602616
19.471534410178247,5.4603977230385325,0.5,70.73320458618673,63118.64426040782
54.44885733699537,9.83475243853195,0.263,93.99455807296661,5261.333139051539
40.350056977640165,13.593686020603206,0.08,9.015841186865337,1194709.0731030873
67.94569690062282,6.9601097785820745,0.244,71.57041514346226,3174.1119137447295
10.336671539826517,23.756867944711487,0.283,56.33561694878256,10258.857808993393
19.687998323913334,12.722049889145417,0.4375,132.18301205447017,572.1967588810481
32.42654365935049,19.358783079661166,0.5,406.0100027008608,1843.2832208799166
24.975682182569567,3.820076768399604,0.225,12.883701228852257,277.5271518896508
51.080563615307256,7.257222564551891,0.092,8.032703200964962,132576.00632397164
6.422166718586471,24.161242854159088,0.0118,0.06640687236518528,2125551525.6231642
42.07073787889142,1.084158450879518,0.162,3.088980872336771,40.282908514767364
61.583245653771556,1.3877967162218359,0.263,15.158529754756955,25.471702550256218
2.407257289055636,13.901956711631003,0.4375,26.262241578509716,98.94851629433825
68.32720282795634,6.672151430718287,0.225,58.34030896261642,3863.0659044189383
40.96689225215106,21.617815901685383,0.12,33.028018241415054,972888.4084309962
58.21078157187644,16.629976945400585,0.263,170.2919617575057,27209.00021646387
68.43539202764772,27.17580537297996,0.092,39.72792408401948,9277024.215794852
29.02613656052837,7.651009624848804,0.135,10.665659952359439,19094.283604681383
14.67528394458925,28.26167693525357,0.4375,226.90429560052027,4560.871258650599
61.46559005584213,8.530172618750461,0.063,5.262828552047805,1170522.9838631398
