the number of spring coils,the outside diameter of the spring,the spring wire diameter,minimize the volume of spring steel wire which is used to manufacture the spring,the sum of the four constraint violations
12.685315258340202,17.911152992076726,0.225,33.55981768672033,14268.351670764032
48.69779773863149,15.30729810519932,0.283,154.26995088218385,13392.306619149
30.50334348054001,17.45185862431259,0.192,52.38390106486204,59130.13562214574
14.524094158085983,24.43684000429819,0.12,14.760334951694439,514233.09673530795
25.786065827357607,1.097042671187948,0.394,11.765591062771568,114069.49180114978
54.80757866685575,23.026800457806303,0.148,70.93680731037857,681715.5940406647
60.567844411821746,3.1656711437766334,0.283,39.41113770226196,153.8529887161508
14.354152558607849,0.8432321145036761,0.307,3.137499215974349,66330.81899747242
50.131942497404644,25.49190932026411,0.394,507.73594039055763,16797.63458341056
49.15033064189037,11.59083619197163,0.362,191.13571232158452,2191.4651181874187
49.31038106983453,21.293159183612033,0.307,252.53802629271,25998.127166118422
55.11462061628874,29.033859012131245,0.362,535.1019262850535,38246.89663946007
1.5083078332803803,22.484387199888403,0.225,11.234295347480677,4415.178603916301
37.65807865494886,21.22696846496281,0.4375,400.9995034295123,4875.140201274628
39.322069828948,26.33846989831988,0.023,1.4095153971976422,1239982265.503498
38.19155167094151,6.058207686549705,0.394,92.81888491838104,181.8606938466629
35.64003210315927,27.103355226078197,0.283,203.525710195575,54506.20623804315
18.46031009361903,7.74065264161051,0.105,4.211394513264236,33515.01208185498
27.151132282620132,13.186337031102788,0.162,24.76235541648877,43846.12532619893
59.76517297000047,5.816965546930101,0.263,61.55161210617726,1219.8772884409616
33.80550693763888,25.96249169149455,0.041,3.876647732296057,102535783.09104525
6.065119741966129,13.380702033654707,0.283,21.153464786915027,1134.3020800502372
50.37638568356776,18.764872513918984,0.0095,0.21728809204076405,19751617552.529266
24.777934009358464,1.078332249683188,0.362,9.413979605958215,97253.37574324472
62.830742987213746,13.763641232592423,0.4375,422.5154254474669,2210.535505158055
61.75684559273386,9.355132209412858,0.283,118.31574114483038,3882.5781649980854
53.32657752968159,12.652861710419629,0.08,10.98932908687087,1276511.5810187703
14.201080640598011,4.338437434788205,0.105,1.8883029589304292,4617.021675738255
18.057596979062563,1.913845928175217,0.225,4.781253368292909,28.230701519675797
30.71241971341215,26.99508517944369,0.307,207.16440980874583,33514.921854423344
9.79883010346216,24.013230993151712,0.018,0.2303650597661427,642322094.4102336
32.00425145546955,17.236418839044614,0.092,12.238871205192464,1114041.4702557873
57.15614544665994,19.799045152836296,0.394,447.43345692524724,8985.494478496901
66.72234464426093,26.82473407904887,0.028,3.580472420907129,1024565067.1886772
63.31264733023251,14.428410440951223,0.225,117.14847379510847,36014.61422426175
55.33530056476837,1.108359123907134,0.4375,29.836730060383587,130672.74676526072
62.984438385087444,16.870041515714068,0.307,255.00342467317876,16632.27278716578
50.551282180577,23.045961351209552,0.263,208.45962389126012,63619.66788493325
45.44628501173135,17.812530864777923,0.148,45.24667526499344,258242.68562194583
51.264603612630495,29.441827738635727,0.177,120.62211071631617,645907.9017102708
14.148982955320244,8.50069340918369,0.018,0.10873243148433345,39892968.65868963
42.7933925934211,13.835983246065318,0.162,40.31738207781464,80605.77403991032
57.667833096009005,23.539947188324053,0.148,76.33433375095238,768024.9287591281
37.307073255086365,13.379233638600452,0.035,1.5771452328776523,28755382.963814072
63.35926479719706,11.383524216653033,0.023,0.9657962582911829,161715227.89810753
44.420873218775164,12.230850123235554,0.283,111.18011045195408,6150.739280037498
39.15797437676273,13.614372638708756,0.4375,263.61939499527205,1334.952057522921
15.099935328395048,5.65748883054472,0.177,7.434622357360722,1375.3085393758834
33.70291358656922,11.362364263151683,0.362,132.25987380692672,1441.43580728217
41.25331981089023,14.056969373840168,0.331,163.40144614073034,4658.167002308691
40.9554386003319,28.665753603539777,0.177,95.283588736155,479307.23579446477
59.12855400619699,26.270632113554175,0.135,72.06222192768877,1568452.6114847763
22.091884332143486,1.7438652713163338,0.135,1.882051320004115,179.71496111779464
10.207121360924463,23.360099358936708,0.162,18.152051492214184,90266.7966977306
33.30033848105752,19.00218181257014,0.162,43.06667040066237,160199.4611587475
42.40353512295004,9.41982819262985,0.028,0.8017730884392723,27812593.22384202
20.253134347819838,14.049354373756158,0.362,99.9392171117369,1607.2933779675116
62.4036511540632,13.545170624057201,0.331,234.34743028362675,6287.295477897926
52.72149849374902,25.30859822397697,0.307,323.7034185608812,47177.74610533397
57.818364121183286,13.537645621916479,0.162,52.597387673003695,101818.33475672874
47.944284753031695,21.165079679272885,0.225,132.18881287272382,86558.94414220308
39.143585634057814,22.288050140902445,0.4375,431.5705504536751,5785.992345464526
35.8090551606972,26.990914590494988,0.331,277.26620562325104,28793.926363031667
52.87403164485205,6.604998225442108,0.394,139.14499594657283,321.1163445914215
9.648276424522694,21.585509064246192,0.4375,122.33181243459005,1381.8834010936926
13.628805111131676,19.354516981140428,0.177,23.93804101786184,50463.526060809476
56.186829230069854,18.057631016565647,0.5,646.0535702594971,2600.962368386061
66.78633975751315,25.006122000113102,0.307,401.24713221092367,57508.75145302777
29.494493535386393,9.408287042311379,0.263,49.77640231319066,2489.6077911380244
49.5147020784123,28.30462064597609,0.5,907.9050776207436,8886.253357548598
20.188352402000977,1.3578710937452534,0.394,11.442302413185274,105073.22743285267
56.35496572705512,2.2860408489731974,0.5,81.78840573734772,126433.03526892702
23.66383395569739,14.354803870030699,0.5,230.22388261019796,577.5717599875276
15.469620224925778,8.851166347593976,0.015,0.08353561926165683,100050775.93214604
21.28806497371442,9.859544761962823,0.12,8.0572519678836,47344.59152596864
23.77802251419015,8.065462383588404,0.394,80.32205584460904,270.67182754303855
18.2617192255452,22.230597361308188,0.041,1.8441175290782874,34079053.08820992
