the area of the reinforcement,the width of the beam,the depth of the beam,minimize the total cost of concrete and reinforcing steel of the beam,the sum of the four constraint violations
12.0,7.278823765952687,38.4274342043181,520.6239128105842,128.10448615363026
11.0,6.028718841076759,35.400733566197175,451.4526416630828,54.161983837191
13.0,18.890026614869132,3.7227765651323796,424.39400903793705,3.802923699313265
15.0,18.922422686768183,25.183346906279183,726.9179608968783,108.44511385317506
4.65,11.746653828254725,36.30266574110422,392.57090850215616,0.9095313208444198
4.34,2.319925027523464,22.893823770437265,159.4631728444494,0.0
11.0,0.204838489605208,20.751112755752274,325.95037595670937,0.0
8.4,3.6086329521728433,20.71059271755002,291.80215640374917,0.0
2.6,11.971498677394948,35.17469074730033,329.09625825544936,1.061797215605214
5.0,9.932265207003542,37.4132406397864,369.9589369726808,0.23316133228045643
5.28,12.453263926660528,15.081850379544859,267.9229579673264,2.78892389430076
6.0,4.2141636502823925,32.97571033529422,259.77902390234294,0.0
4.65,19.11429383345859,27.96096867955186,457.3825027254521,2.537169674005554
2.0,14.972195631057394,0.2944278485235374,61.444938808395435,3.9803350252842815
6.6,7.563926448268774,5.862826536274421,220.64759321960284,3.2248964110939626
4.2,15.935462723656524,16.199775151217114,278.3705478323025,2.9834135705913196
0.44,0.16342239411696324,1.001631642911791,13.034213424664772,0.0
0.93,15.150982381840755,6.293800295866916,84.55635443850227,3.584594573655477
2.4,12.871918625137326,35.36122021774088,343.6600494769928,1.2528399807714274
11.06,8.80156713126338,24.0859943827159,452.36069788962396,1.2634425184167641
4.65,1.4041517739148812,33.288116621626344,164.75494080272526,0.0
10.27,8.34667814275239,15.890249814272327,381.5164804845972,2.096218694131606
13.0,3.5215856397154144,39.4222034758137,465.4971993878188,0.0
2.79,14.261738223812472,25.241655328229015,298.01992837614205,2.2301136837525424
1.6,12.96999968449333,17.993846566056867,187.06811057074734,2.6126563605417856
11.06,16.80823269647888,24.368566800610466,570.9195247586104,35.77431071196378
12.0,15.755356347140339,1.1039421709274455,363.23580137375853,3.929932262615703
