the area of the reinforcement,the width of the beam,the depth of the beam,minimize the total cost of concrete and reinforcing steel of the beam,the sum of the four constraint violations
10.27,16.558218602785388,32.77326118994339,627.538093865559,109.33154706916658
5.53,1.6016208544927224,8.031828765673446,170.30036667049026,0.0
3.16,11.026055058284408,11.935751621369889,171.8665527235391,2.9174957354850157
13.0,3.7430312894811535,35.789144930571695,462.57593357934337,0.0
6.16,18.81395321216635,38.45098120248106,615.1529767832199,43.21368241585432
13.0,11.79801447256349,20.200084307499303,525.1925322041277,2.2878403519104857
1.55,6.44316341043443,13.025775881022273,95.9263215294732,1.9783570505246564
7.8,12.652309034832655,34.705450427265504,492.78245039929686,54.764913876624384
2.17,6.319807193465509,19.279608215019735,136.90404401068707,0.9493360121881138
7.8,13.533597662929196,28.44057432342478,460.26197411751946,8.962472769604725
9.0,15.080439280206772,1.178896642522811,275.2669675411229,3.921826107275925
7.8,17.942204484408727,9.269250532656073,329.1064730844779,3.4833828507132
0.93,18.69268513037725,4.113955205743847,73.48252158086765,3.7799163053863083
5.53,16.605566136732435,19.860225112789834,360.4561689604956,2.8040019262662828
10.27,3.5398122096877738,17.317901790187182,338.719272121847,0.0
7.2,14.128506179742221,33.78729518810602,498.0984053171583,36.49600845434679
2.17,2.397979105236012,25.43885794048741,100.39910988141361,0.0
9.48,1.3141304539706922,35.7573168066758,306.9058673807584,0.0
11.0,17.12640048948725,14.685521595183438,474.3060745416751,3.142521418660162
6.0,9.021577029680541,21.809447102530687,294.4533642061342,1.5825238724029416
11.06,3.2708687058522545,30.632240313071705,385.28042173810326,0.0
4.2,9.05376181295855,22.997482510936415,248.40823737101894,1.4598975557297775
11.85,11.830938089347857,31.142237661353636,569.4551314411392,98.59581364272206
4.2,0.8384454489118753,21.673707963109567,134.38333308162856,0.0
0.93,17.44870291925514,8.412055467428253,115.4096740748709,3.5178979488414974
9.0,15.237354646593415,17.476008921876254,424.3728874497954,2.8530811727360215
4.74,11.268922435688387,16.442908381222637,250.53231549907701,2.5408624049848485
5.4,16.19726482453435,7.648724255948225,233.09304740605972,3.5277767981935733
2.48,18.37616906307327,17.856093113224016,269.7879515127497,3.0283016524316997
11.85,15.4406853594249,17.215469163079632,507.8811855971967,2.8850579645694667
2.37,1.953789297047177,20.022431514508888,93.14976743634453,0.0
8.4,16.6787557914119,13.59508668636825,383.0094784830068,3.184886039678779
9.0,11.628892271069693,23.291095612105316,427.109785049014,1.9971354907080188
7.2,3.206914200890836,27.70430616628734,264.9871997222967,0.0
10.27,0.5933864939966949,29.413571539818477,312.4101696551603,0.0
11.0,8.227581433252237,11.900825829222622,382.1490081797284,2.553545057466735
11.0,15.479165770599035,27.670428469404555,580.3890895328495,66.12294567481281
9.48,4.063706456857092,16.485975057594878,318.90849797347994,0.0
7.11,0.9214006751383197,38.549782485744274,230.34587736528007,0.0
8.69,15.436106521286206,36.90866456469828,597.3216466674625,104.50427819119058
14.0,12.77928548501027,1.3937682918812344,422.28681774114324,3.8909353505314455
1.4,10.291546200217736,15.089761703789005,134.3381878348925,2.5337711739107043
7.11,13.800504840349127,3.5947961942600415,238.80000136737257,3.7395170513074434
4.84,8.47349141046459,1.467376392492623,149.75628075462285,3.826827417246161
7.11,1.0427056373608412,16.068848840206794,219.0870475629497,0.0
0.8,2.1952013891439415,27.002496559553922,59.08555077473237,0.0
11.0,8.848741826395624,33.587239343385825,501.7228857665873,83.8935206265516
0.79,6.925094367468343,22.061590805423524,114.89315893441791,0.8142541264042387
3.16,18.2697633125547,17.421201568143296,283.87273756217087,3.0464462363247087
13.0,4.297189944499198,30.218234380703418,460.1120957527672,0.0
10.27,13.584377036817907,3.9700325971927164,334.29625178923396,3.707750117180001
8.4,18.170848661437525,36.847491043247295,648.6901099803127,101.45497982053435
11.85,17.67265206696647,15.513702789312877,512.8909629995122,3.122163287630671
11.0,16.893947527920673,20.44904778199904,530.6790841350206,2.7895636737238085
11.0,11.790602208222264,37.76069724316316,590.5328161795511,156.78531467310117
12.0,17.722261690131646,4.038234301625732,395.7399870356863,3.7721377568939545
3.52,11.511200588979307,14.073664107922333,200.69086234092748,2.7773938956987423
8.4,2.234057152029596,21.54193181956732,275.83554411002297,0.0
1.86,0.6485172355538649,38.465977085080596,69.65150947325687,0.0
3.95,19.40153414287779,38.097337588313884,559.6180775834479,2.0363749944846896
0.2,1.3832591471803601,16.60273272374421,19.659529144985925,0.0
13.0,14.941934368397444,8.592589282313309,459.23394306655246,3.4249346121820183
13.0,12.348310608298343,5.262935231074168,421.19301536679615,3.5737930962363906
7.2,7.393002557697461,36.3446987054692,372.89787029296645,27.443732305869048
4.4,8.21305968743064,37.43371366619333,313.8271947975803,0.0
4.74,14.849069243364122,22.270707896627112,337.77557019345124,2.5001950269321
8.4,15.761973629558234,29.001511865793475,521.2326391475742,31.14625674016913
15.0,3.277448284963227,7.3924105058999645,455.5369458805836,1.7444615862236534
13.0,0.7198449093162074,17.025115774303046,389.55326575239064,0.0
11.06,7.572639323135791,24.715457354824455,437.4607465526576,0.7362162252579183
2.8,15.28868342630782,29.922123419763516,356.8019234446053,2.042858067930468
4.84,15.472961528816167,12.901254539179288,262.06836909491165,3.1662065135266735
11.06,19.767513315277597,31.40047816080642,697.5896220898945,121.83574776428941
14.0,7.032802012314638,2.4900234384730258,422.1071051092822,3.645941484757722
3.72,14.30646780442611,23.284569581290807,309.23996703279386,2.3724445544771666
5.0,0.6142673704544332,17.76760774491459,153.54843701324072,0.0
8.69,2.054187817255211,3.8842450535637774,260.27338132095866,2.109109098527381
14.0,16.710265496190747,22.147593868840115,633.6553041900747,42.014659196371134
6.6,9.363923712934575,11.752755013520112,260.071140818047,2.744889922876476
11.0,16.363585701341805,32.61251412741415,643.594601916097,123.54845739784469
10.27,2.10326100936699,18.280251854161634,325.0068845797601,0.0
15.0,0.3209235289342227,37.590398246056466,448.23818595550034,0.0
12.0,4.712374488473296,6.226976401211313,370.406306840036,2.6785905032711623
9.48,3.296346305370075,7.49551596123244,293.5366898073906,1.7261139252809992
6.32,12.134731798633853,28.450120287168907,392.9487475942,1.6554800914205727
12.0,10.232784971747488,25.15708205141724,507.2562066892565,14.57637359897371
13.0,9.3929903787431,30.476004306633783,553.9564891408467,77.774303776516
12.0,0.967981107579925,29.265130800045476,369.7968562351796,0.0
14.0,17.312219591628136,25.046035174992475,671.7614765094672,85.62609552982308
4.03,11.103562402876737,19.963345622918006,251.48055233655973,2.20207741456509
7.8,15.996571785364468,9.616197194586817,321.61571323525703,3.3988588727876783
5.28,0.2629948117656222,11.301775133849748,157.01538493436652,0.0
8.4,17.274784629202337,1.1960686633825945,259.35709713700334,3.9307621664144694
0.44,15.389287207735434,28.231278147768254,273.6115485944825,2.165523992977544
7.8,6.8675301998201554,38.864441747564726,389.4616364403312,54.617661203222696
14.0,14.695883285178644,22.845494265141202,613.0408303876399,39.12014533359113
15.0,5.717246760251802,23.565628392979214,521.838307549835,0.0
13.0,18.7912140450289,17.45984857143724,579.0550510198016,3.0708504235224687
13.0,7.43583209764269,29.64755925672734,514.4725636427621,29.631725711126403
14.0,11.363243417382767,17.379579254172643,530.0930337341156,2.470544138165124
5.0,13.715258741098511,0.8990469529367306,154.3983969479541,3.9344491438398688
9.48,12.673080016479414,39.08527177567267,575.9104660073665,136.59196201628853
11.0,0.7757587933054566,3.7700117059165494,325.15477183903755,0.0
0.6,7.659285523932691,29.280042359834056,152.19852275208777,0.17718359390784277
10.27,16.079159343366303,30.658718994712608,597.7178567876852,86.2197793315596
7.8,7.655874038780808,10.110570441142341,275.76315225456375,2.6793708478055835
2.64,14.458380274321287,22.16104532713413,269.86369236970563,2.4672525617206853
11.0,14.516600414587943,17.258753672419832,473.7230584297925,2.811102242982712
10.27,0.6436273796021852,21.496955071208042,310.2396173171445,0.0
1.6,3.663580604887353,10.17207575551085,69.39973166960065,1.2234606379505006
1.8,4.705514231378594,5.995165877245809,69.84620301291329,2.725927585710567
1.32,14.958470378457244,19.351234702946737,212.48692265436156,2.7063359947006465
9.48,14.901881297579152,3.9070501704756033,313.6454387184683,3.7378149716499007
2.64,12.359972264734493,14.625043837978717,186.07508172476582,2.816741370876136
1.4,19.01087566567137,37.50494184290555,468.96107173422786,2.0271849386385927
14.0,11.742346979265426,39.781907045400104,691.8797736143831,248.44832247684056
10.27,7.068771507737354,12.120518073052287,353.3443036882846,2.285343067068248
5.4,16.3953310956277,24.839438924007307,403.1104952332332,2.4849687524376085
15.0,16.46300034962739,39.48676417838684,831.0423674846621,308.18862015747817
11.85,14.108113806750797,34.69819255143647,642.1056296425311,155.72524119766763
14.0,2.490291450411297,13.606604049296784,431.9306458398573,0.0
7.2,7.291112334133798,1.7278052985796855,219.23857351407366,3.7630258293387064
7.9,0.33580839849263855,30.277887505063333,238.36054134768935,0.0
13.0,14.444729975909445,27.06156233657488,616.7381764068391,83.42914355118195
7.8,7.33282841041725,1.474096233108173,235.8055768426948,3.798973035968764
15.0,3.729815986689422,1.728888203150718,444.8690609155862,3.5364682307865607
15.0,14.355933204302296,2.982829577960282,466.692781308609,3.7922232197997157
6.16,19.706997187808074,23.468822288517384,458.6040089045877,2.8091122120301213
11.85,17.155447912404572,25.729455593226476,613.230201146474,64.08096440149097
9.48,0.6822554383122026,29.28422420351633,290.6995927317617,0.0
1.24,9.013692696796067,21.578397870642398,153.1566283771015,1.606042429390512
4.65,3.6771540292984928,27.467333047151122,197.31096863304924,0.0
9.0,1.0776377409766624,33.747636054333576,286.4206357685367,0.0
8.69,6.150761551283406,37.22645163744967,392.86861645340196,48.53124496539891
7.8,16.28743183274089,3.890218771567535,267.3370038338131,3.7611521072495027
6.6,10.320611996054673,33.87583491824772,403.8116089401811,11.651203646071554
2.79,10.790155110427868,31.40953484109278,285.3742517290676,1.089056225824053
13.0,5.406185422463676,25.63662421142777,465.3578064558001,0.0
9.48,1.0711527476266713,20.56480721592545,291.9288298522508,0.0
4.4,14.963043178422474,0.7416100880271159,136.01804626122208,3.950437215265371
11.85,9.15363480252684,1.6494184417864988,357.4489044315999,3.8198072702953825
5.53,0.7414048636371939,29.901339895634337,175.8833992967353,0.0
2.37,6.147453718793134,6.260964852272495,92.77139499860138,2.9815352601789664
1.2,17.958915501681282,11.199830682076417,155.96208771152868,3.3763637519744494
6.16,12.800416014574509,31.855151250611293,425.7595129290108,1.5113971909708925
8.0,0.34383674784412177,39.567541168493975,243.362864805338,0.0
12.0,5.329625829852573,32.26714082663705,455.98307232308116,0.0
3.0,19.696504765356163,5.652704210987323,155.0031092573164,3.713009781261812
3.08,19.602147214833355,24.802707231938758,382.2637910921253,2.7346943699530004
4.34,10.441300304598837,10.697773603058529,194.61520006808664,2.9754366514727355
4.4,3.7404697861668668,38.4008728076322,215.54238269963105,0.0
1.0,16.194564869064074,24.515347228408263,267.6092285868526,2.48619907810928
9.0,6.532274344674787,15.262142467158672,324.41790100979523,1.6635790749357287
15.0,0.6827336704133558,11.304510307585591,445.6307818887141,0.0
13.0,13.781895990330801,29.21560332199906,623.7878437671324,106.83283236457234
4.65,14.002736621044418,12.635386926854292,242.8679971450371,3.097648747612318
3.16,15.60725507208648,26.75601787902395,343.4567974507398,2.285667931007484
3.72,0.3290916310528713,11.248725253135202,111.58911680449192,0.0
11.06,18.845053388195357,38.401216163853874,759.367781267674,196.4716841043196
1.6,15.040836806119472,36.60992586989005,377.4263522958886,1.5659648235133408
14.0,19.349287258994995,22.749843502318257,675.715954214122,62.96982317411532
10.27,11.953866242929667,25.857365772059477,487.3952951002241,19.1435967622475
14.0,9.178789680303703,2.5452762862962253,425.6175334261065,3.7227002279224237
11.06,12.923684807497736,25.44278495685858,522.4527200444311,30.216179690692158
1.32,9.99151238971127,19.58615517276083,156.2251872452684,2.0397206740263254
2.37,1.7380148740319434,9.205991597940617,79.27809019646033,0.0
1.32,1.4845302415349027,13.957482477175184,51.24018289983603,0.0
3.95,16.459593018128626,31.691393456811632,429.10646308590236,2.074594346172067
12.0,9.391685850162379,28.112344217411852,511.2133832409366,39.75629263262536
11.0,8.821321350134472,28.546028617957045,474.48821502548043,28.671104080682433
7.11,8.563961232736547,25.26709320405162,338.8658439980635,1.0496021038178247
6.32,1.7000425077368009,5.2476601604893425,191.16074720339327,0.9132182656565782
13.0,19.884289394358806,20.779938203368573,630.1165828996038,27.353056497384117
