x_1,x_2,x_3,x_4,x_5,the mass of the vehicle,acceleration-induced biomechanical damage of occupants,the toe board intrusion in the 'offset-frontal crash'
2.799144620356884,2.424103953850426,1.062913220668677,1.769826819579832,2.9870064574517032,1684.3413292796638,9.535890028453043,0.07896990679974887
1.6158324964882458,2.3354641478999367,2.780254658410141,2.1758684857804846,1.9532396498194837,1687.7211549982892,9.24183686249091,0.15197243815482156
2.23229985836976,1.9811231985190119,2.222191152800069,2.826066809585873,2.497973256835305,1693.249590160636,10.955505624459049,0.10897930103354046
2.5130055318840565,2.747085215500198,2.8149591766598796,2.5246185840090476,2.024592569261369,1693.9612040712486,9.776305711468241,0.14058834974370515
2.5129603582963576,1.5534662327802657,1.6061792811467752,2.2261727534264124,1.4744108591835015,1680.9107526114115,10.077457354177321,0.11162863301408282
1.2595703482246707,1.0610251787089062,2.1975017734475775,2.8112846952411186,1.712107844106739,1685.0913582333158,10.937454307862602,0.08275597882314223
1.1556643285484114,1.8360954277778858,2.2322977732328355,1.2946495123557682,2.290846543610455,1677.6734517779764,8.229536760715215,0.1397977361611251
2.9375261430279265,2.984450936734172,1.1321266529736673,2.3441993214200214,2.4672418378423178,1688.4037886790907,10.107277502336784,0.054632222914746016
2.787202529685201,2.591643332897518,2.382031778121539,1.4853391438308923,2.6149047933655076,1686.8743957893494,8.724739651670848,0.1511918775388002
2.1442918539113602,1.6502266836833128,2.502173831542165,1.2123957249306996,2.7755051363661467,1682.3299174814988,8.658087363900524,0.140643328310584
1.4371335673735468,1.488038254112868,1.5413576256463417,2.101607611416065,1.8484061909149447,1678.6312812347378,9.926909130347488,0.09661609353135975
1.1744238478799092,2.5624511527436526,2.014041153376807,2.861342264737188,2.701986074313916,1692.3361083331595,11.2079451501093,0.09861687186317707
2.1952682704573485,1.5800650004080814,1.9628202054339756,2.1695134959816267,1.710775937797812,1682.4688032305164,9.968935701058625,0.11513120569407492
2.9891180577694385,2.392791643443886,1.233932016275846,2.516173449482518,2.1335020823271695,1687.4574559066473,10.39388396546609,0.0902058724759834
