x_1,x_2,x_3,x_4,minimize the structural volume,minimize the joint displacement
2.6484923413314183,2.2090697847430505,2.947210436350616,1.945716482084795,2416.7083505698306,0.021037194338255804
1.5570132618773918,2.713437235288617,2.097758545149018,1.9857626213375998,2077.106595325862,0.019857490566036286
1.2365251449048271,2.561442850140164,2.2644049512299036,1.560599492416405,1832.174197953796,0.02754144698033713
1.3077491811211204,1.4571479597842245,2.1890023770024754,1.478841338095959,1526.9171724349262,0.03530718182110881
2.6726041161292047,1.4539578422158321,1.6499229682608496,2.4291915089686933,2223.0199827520396,0.018027042373601993
1.2183888336026953,1.7156190967125373,2.74382191571093,2.4058907104108873,1785.0737514687876,0.030906037470072856
1.441895986879118,1.9094413756593767,2.7906608221299645,1.9523480844405425,1841.4050114560546,0.028792221226025427
2.255062550136839,2.4140645124727147,2.2583773111463286,2.1697604739189726,2319.335638163322,0.01727883634448565
2.3989698591055246,2.3940659213677957,1.5210625645882627,2.915108255334469,2466.416424182524,0.008416970546372655
1.6201751858615645,1.8803992989288536,1.5190031740059275,2.028630466420617,1832.149099466854,0.018624558007232936
2.6368089296648027,2.941004286048889,2.751390511808433,1.415334389927047,2501.3783989724793,0.021053085673232573
1.6965050401812618,1.5767222068290636,1.4834387168624497,2.678999595562904,1903.9593189833183,0.018126374339558708
2.005872933341239,2.8471317950023916,2.1614519287873994,2.9745272875328665,2496.582654293121,0.01354300831238461
2.337852658040248,2.7783017967919394,2.847052961020547,2.9727933093917986,2652.9863890204824,0.01552837696552881
1.5198787437486372,2.158865957576576,2.689738335484865,2.816168517587559,2109.813139309123,0.02284661888502664
1.1094909610574577,2.845453421611349,2.794755572446594,2.9296027927526627,2168.8831561886077,0.024672830756072465
1.933727502653268,1.8740351304776974,1.7892196410365035,2.5537738408964197,2081.8263788970535,0.017458816794343676
1.8329852305000385,2.2032880445867193,2.32453020013702,1.4453448941128912,1950.375239310566,0.02541825447042443
2.6762040596397565,2.1984396755561644,2.9941705705686648,1.4661934019541556,2331.606380885289,0.024533202425138068
1.994070122689527,2.9726272430288336,2.669302728343093,1.5036809903299952,2265.9102173846495,0.02224921069932763
2.7471970221220543,2.5218572001621347,2.7087623246667016,2.620904990946891,2665.5150986604185,0.01568498171743092
2.719830801027224,2.1622161078051594,2.456017500744596,2.6012961140069732,2533.1923371997646,0.01660670759777931
2.5730279923195836,2.520984163237694,2.2350689890572992,2.785280985387965,2598.3123352385155,0.013518318282622009
1.9865195484656957,2.8338551211268665,2.599989941857377,2.2326246436124633,2365.1577034801976,0.01812816407957244
1.5545426137598246,2.755338938152664,2.5322403188260263,1.9544531743541003,2110.2955103119575,0.022194158999963732
1.737003831438775,2.0798599906819675,2.380632967910394,2.5195539182507494,2095.571556456457,0.02117012737670083
2.4980214429330445,2.690179057130032,2.702156584752516,2.5554335236165695,2599.957577332012,0.015879400788442914
2.7343124313008773,1.8930369079802873,1.954069077438933,1.2757687468355634,2163.886457463968,0.02345793997884036
2.2830260131342826,2.6305583184965746,2.0680385888838257,1.888050568114676,2322.468300595815,0.016428574427181774
2.8444823821150527,1.969885415760412,2.6530745862285228,1.2108990677158575,2262.905728148617,0.02724520184066522
