the length of the bar,the length of the bar,the spring wire diameter,minimize the structural weight,minimize the resultant displacement of join,the sum of the four constraint violations
69.76376875641252,42.479666961867764,1.3478651458298865,365.7662892825968,0.8977754914752297,199996.75726225684
72.88091479501706,11.227309493594092,1.4572884433386566,330.11120279070394,0.8016669277484801,199990.55656298454
90.63777711712855,81.65528977873232,2.6980428433552106,672.2710926772879,0.3946009509357122,199998.56054128017
80.131742074356,99.10587793700883,1.2027620874768579,489.72236690435295,0.8667653451344176,199998.08346121322
8.411035308299851,15.66650200173291,2.088951979675974,74.23894845990063,5.136657930387777,199989.20195881266
21.805274089538777,92.96943904561601,1.0614897823510379,225.82122708059478,3.575940142327497,199995.24185359117
77.28039541141897,47.17436915048405,2.6616427548437214,505.4334607170923,0.4671643001758214,199997.72126009117
76.03083442797916,41.45865213907737,1.0774123913018585,375.9054776298492,1.0114100358356444,199996.3558868777
52.74234248469734,62.569656962720266,2.3688763551538665,406.0751831871206,0.7441686993815199,199997.86800123894
39.827843889704916,50.3260133759032,1.5356317171755367,262.8719981536911,1.4011052412852274,199996.70192072837
14.417178786655333,29.02656778316069,1.2257657275630973,106.2336865835501,4.734698190332777,199991.708382525
29.859947494819068,44.66856766116093,2.6653432425485275,270.68763246701405,1.2079025878034721,199996.87922504198
21.809962329832892,69.39779937478053,2.7575991362855525,309.52799622766344,1.6156228848713345,199997.15814619442
29.448592965601755,10.657296825890493,1.5607471589659332,146.19831977000467,1.8683809840234953,199989.21638735294
29.131105744966348,99.93248661520333,2.4996243261961673,406.44694956956266,1.2955224996652641,199997.84225115037
69.10910937109975,55.75621897960105,1.8057294753328015,418.3873611529677,0.7033598646326044,199997.65649466054
41.451435687626834,9.434337895373588,2.2749117498873517,214.18950932184512,0.9759776353268046,199989.7612637676
78.76504556658107,60.06276108836974,2.383784311201593,522.0292510633151,0.4960020401176383,199998.05960664144
97.49656787970707,28.177686926458684,2.7408757856744494,554.9680961757114,0.36291071853734,199996.6149024649
81.10563897857119,2.4547677994752397,2.9819610442222197,412.37271202860654,0.4125795289834251,199965.21408554504
22.36920185142831,51.03730362273571,1.9734450251914077,212.68617053310578,2.0207883436659624,199996.2219730129
57.695008039077614,47.194593355214586,1.4848472113518645,330.65474764993337,0.9960992263613972,199996.96021327536
