the inner radius of the discs,the outer radius of the discs,the engaging force,the number of friction surfaces,minimize the mass of the brake,the minimum stopping time,the sum of the four constraint violations
72.54271912975611,105.3439065537377,1692.3473244712454,13.73544568774707,3.6411879005945553,3.1309793105432284,82542.23212393827
71.75295189436476,93.82251217412733,2444.1303202552826,16.2393079553918,2.7286698142879273,1.9806057104781114,130987.9780979071
70.73409629230875,86.43140082184132,2662.6846758867237,13.176421687329182,1.471966934128973,2.366650243900926,109472.80640865758
66.74160844686703,102.32113163146047,1619.8228676678048,18.995000299358637,5.303907793168475,2.480451513122096,104425.06359282791
71.89631710872891,80.64042002989991,1405.8104977424118,15.310096998967829,0.93525140797446,3.9837822802251543,64669.64064031683
79.55319001070123,79.08059367354119,1012.9807068548131,19.532819035054594,-0.06808063525034544,4.171451092511321,61728.24896967817
76.42465872981386,104.44094272103068,2180.9823373806503,15.70099309673739,3.6501378117448358,2.097274395120984,123657.46736995957
78.64126985291936,105.62417528895566,1833.2519088771191,13.203699241104935,2.9731730530644795,2.914710159811094,88726.66786128643
56.805516180175935,91.44040248474312,1444.006613901659,18.205070204090347,4.328615807837177,3.299705492344868,78278.09096658726
77.1710054777387,102.22423253381965,2029.7781944846113,18.854846999978115,3.932120316992864,1.8947568299632054,136966.6082046299
62.23768393147665,109.88500507389308,1636.4614617519617,14.756813371001378,5.5282864280822785,3.0715647282057574,84170.92264832444
58.403936544466404,93.0921209348276,2366.8753843327413,14.423649224664842,3.4566035773719084,2.4881366179273776,104098.81044092478
79.15163443337664,95.01919070817304,1769.2542667096927,19.75388210657789,2.539643271432625,2.145024422449108,120876.77962416767
67.37351842876859,90.9107893172472,1254.5760167109806,15.57969484820551,2.6615736063236812,4.201139208788197,61281.20920169523
58.139699206960465,91.10872195639197,1217.1434829205355,16.402023648190514,3.7135535056963365,4.324082992176825,59522.874067679106
59.59655312878114,82.65935561179796,1895.8720252693429,17.929170406587787,2.7215364198694862,2.6842461485334956,96417.12376591511
69.43300815396348,88.51510470048107,2275.475351244706,17.869974795128652,2.4914435064066884,2.028765705630198,127855.10809047704
67.92083536455961,91.6847310624614,2548.6725593134083,17.117025051949565,2.9953434913044354,1.8666479602315966,139041.1723481172
60.91061384691733,105.27971764065974,1620.1734038590366,18.90018697820016,6.467553920102755,2.513154157563163,103063.5506074987
68.81508401769146,80.91951484951352,2549.3872996504488,11.658579290421715,0.9465900539297698,2.9356319491238105,88080.46773629458
75.30024542278677,89.06817029491964,2075.583193787662,15.643020816238073,1.6237292585951177,2.447690923460301,105818.57851072158
65.62190895396058,96.79454061008369,2720.4324125579524,18.387057817649648,4.313458844474832,1.5920979015616363,163180.05436254156
74.1750302951551,89.17981008783896,1492.5739287353776,18.564797450579626,2.1096036097189654,2.8845127527748398,89657.75523561818
75.42527801518789,89.31867477619517,2104.9981120428083,19.667952745816745,2.093681874231078,1.9151443427911325,135493.70681871433
72.1109786374767,101.33880813561439,2319.0887366061625,11.91355384775893,2.7110193109367997,2.7066148157489107,95619.09412837052
74.60137567488148,106.93416331698566,1441.687892675971,15.663947757332757,4.217467976184707,3.160442856166673,81764.02186184736
57.11004875941059,87.08957785602539,1248.7018330938683,13.455380019626501,2.6384083051120695,5.3274423284410215,48142.62548963707
59.78145817735124,84.49013965683596,1140.5741083947805,12.815752781531069,2.063896375709031,6.148599082036381,41589.102417066286
62.493466689684816,95.02217178126044,2835.642018228805,12.4323551447964,2.870266620134568,2.3248313476617763,111471.00281162777
74.60920515342087,105.17940636005144,2044.1626421469073,13.277129327000335,3.3063847283049053,2.657682327233287,97397.3761669745
75.36349596502407,95.2550623858372,1345.9597978510933,17.56589938034324,2.7549032509440607,3.2311585462678125,79942.75225267622
72.38233145592969,107.97340653151093,2639.810468595191,19.38917141900697,5.784013683913257,1.4001902691418078,185671.38101339154
76.54683738424805,89.38648687403679,2155.835212410504,15.212225649254867,1.4836961034234157,2.401277700093863,107881.21897867881
79.45408126426557,89.2552017422263,1072.411116676079,15.731759630426422,1.1936181432790829,4.59498744365169,55948.174027507084
65.63229705806405,77.73174697857026,2035.5288977819384,16.442860129476994,1.3125918019468323,2.722233898110802,95055.76252123498
60.27933357244795,105.96492033423284,1784.1469172436457,18.09649286296721,6.3625170578334,2.379475148285903,108904.09399902329
79.306363619776,92.16816678155527,2611.039631520773,15.986555165034694,1.6195687101809506,1.825864541764558,142162.7757464578
76.87330835191332,80.95676739124386,2395.2658485057846,14.98412309794407,0.4416205627506302,2.3108859496953715,112135.45875375866
78.70317870126092,87.13596401317518,1173.8277518533682,16.419790774550933,1.0566536290224864,4.09276717799413,62923.734675219
70.05323382016594,80.32609633782664,2914.3751286763,18.653175299832018,1.336283284444691,1.5991485574289606,162444.95090826435
56.3975391359061,79.11970719656166,1043.7839574033308,13.88130590629104,1.9435705513892958,6.6063847147890105,38643.263176608096
55.282719358446364,93.38153221668418,1903.1628148127743,11.724006622254352,2.9762619065077187,3.8626611483039057,66744.18767999663
74.38607812923573,88.96489799406189,2127.845461181244,17.912907035444405,1.973596860380478,2.0973493229657163,123644.74110636722
63.218374387011956,101.20928946620981,1279.338129278519,12.17861429245496,3.421674493837314,5.021482704731193,51138.16729758059
55.867884262522,95.55897271857708,1594.0672047381374,17.533967946041358,4.869328657026209,3.0243132834377513,85491.61993337615
79.96999721279533,75.59438820560386,1387.8334970858177,14.249850715105124,-0.44193230601602945,4.254787274848484,60495.07102887629
79.14282693823444,97.98683308735636,2687.577040327548,14.224656558812743,2.1629426716617717,1.9262864949295597,134704.8253360197
65.51447358180954,105.82706311294464,1888.5205861937916,16.428354956436596,5.221785839214307,2.418417944171183,107130.99937579036
68.00140824264344,98.5544603260403,2157.756619731559,14.14571120632417,3.277892504669986,2.5469403488150606,101670.83447139079
76.56349573813628,109.23990793641403,1414.8302183240378,13.121137075121032,3.60601454313871,3.757217156163858,68636.66098702121
66.29387779215848,76.37340323619424,2318.0689428340665,15.481054381517511,1.020377173212171,2.55315370855525,101410.16370662315
74.40282482822795,103.64916176329388,2621.3487879502745,13.139201936203808,3.0974515267570104,2.116027173225286,122554.8749598666
79.00412761004014,82.11721828439704,2749.2968916571062,12.555278369811909,0.2840019642185499,2.353938523490905,110068.06369123908
56.93925926178413,104.23625509249362,2797.1732905307917,15.496191645374825,5.414802531189176,1.8218651630741998,142504.6217615409
76.13168966412809,100.709630480091,1582.6981161059152,16.52801510380629,3.307053853829188,2.8122915091172462,91988.01721286467
58.47832010457786,104.08055791635336,1291.744379963552,15.381298571127129,5.223854006518283,3.95024870802637,65252.355068875266
75.424747519731,83.08162111344203,1184.1154468298662,13.366979549105915,0.735458067944663,5.214810112922353,49191.24607574515
72.7194745713349,109.22886440741581,2904.8935432334074,12.040357435500137,3.593617786992163,2.0302173657368074,127779.72122330277
