the proportionate amount of BOD removed from water at the fishery,the proportionate amount of BOD removed from water at the city,the DO level in the city,the DO level at the municipality border,the percent return on investment at the fishery,the addition to the tax rate of city,BOD removed form the water close to the ideal value of 0.65
0.7515692670892431,0.6387570387373678,-5.776062236292582,-2.9529435861188498,-6.857988949516488,0.44764641797000193,0.10156926708924308
0.38843871777848804,0.38567728362015624,-4.951755889357168,-2.869128233153931,-7.4539693478266775,0.05991703234450707,0.2643227163798438
0.5711774882085174,0.6009552198002106,-5.3665728982333345,-2.9301419733300405,-7.280384072229833,0.3571383421437777,0.07882251179148259
0.4344572239658072,0.36638198597588273,-5.056217898402383,-2.867584385600836,-7.422202578654586,0.044431803857895025,0.2836180140241173
0.6339806569130924,0.40535349712672464,-5.50913609119272,-2.8820076305663744,-7.178126033250768,0.07706587697966483,0.24464650287327538
0.6983550006431014,0.3225028853715413,-5.65526585145984,-2.8717664569228507,-7.031186029359117,0.01363884103010693,0.3274971146284587
0.6808262033118336,0.9646422938671166,-5.615475481517863,-3.3034441783068242,-7.076675879583789,5.060120564237264,0.3146422938671166
0.45652749379934987,0.8914534843060147,-5.106317410924524,-3.1439266636900634,-7.404630245854198,2.290813626889511,0.24145348430601465
0.8194593552128226,0.5450862616711768,-5.930172736333108,-2.9239074741830295,-6.513409479688995,0.2507744283784221,0.16945935521282263
0.4336675821784446,0.417684849479653,-5.054425411545069,-2.8764876779763595,-7.422801338740487,0.08856223021198084,0.232315150520347
0.3816241124751113,0.6046554809117111,-4.936286735318503,-2.9244347854425086,-7.458170489155625,0.3652497709845639,0.2683758875248887
0.45492104873027994,0.7130204516733469,-5.102670780617736,-2.9766504638357807,-7.40596564043577,0.6906137728779014,0.19507895126972008
0.42012789545720886,0.4980816933685594,-5.023690322687864,-2.893522810455396,-7.4327632301256905,0.18025813249899247,0.22987210454279117
0.8754512536364703,0.7361419709955415,-6.057274345754788,-3.0107566378907795,-6.0158322385651095,0.7915211825674813,0.22545125363647023
0.8701320905942334,0.49600430659307193,-6.04519984564891,-2.9140674879020922,-6.077036107504714,0.17746807930523434,0.22013209059423333
0.560482797707406,0.39191230583395753,-5.342295950795812,-2.876586619325221,-7.294885308583933,0.06519771028689458,0.2580876941660425
0.6489354564849431,0.8710444581887702,-5.543083486220821,-3.12243389049741,-7.148528501071362,1.9378371859645895,0.22104445818877017
0.5179125178026321,0.46233842642684675,-5.245661415411975,-2.88874795463702,-7.346007743138137,0.13558627389659872,0.18766157357315327
0.9262367070107869,0.5599651159891441,-6.172557324914486,-2.936477058247986,-5.150783424486059,0.27641382625250754,0.27623670701078684
