the thicknesses of the shell,the the head of pressure vessel,the inner radius,the length of the cylindrical section,minimize to total cost of a clyndrical pressure vessel,the sum of the four constraint violations
99.70177108952053,55.22787438218787,189.23451298431883,71.55616349053136,427057.3217498531,35139085.46225579
60.18847511219233,80.15158451986683,105.03977578331518,46.36131256396695,140828.3642543625,5165556.751067023
64.45683681717418,76.08220946577453,166.8330067832241,140.1178937644864,353334.068126854,30406685.19261217
93.50785986920408,56.833438996471706,167.92213130885162,217.65212862280518,451038.7510190917,37819061.7276189
91.97623244631396,53.22659974191543,83.312881693775,43.8416693689407,113193.46612920662,2082298.1922486043
88.88349888775008,81.82388976728139,36.219048124903296,238.67825206719294,87498.9480775423,9.642942652077789
15.932418913723913,85.43448023726675,137.14520629485514,121.17374451436928,191118.83567521718,16669256.197589824
37.589707793104424,9.543306422353334,138.1179576904891,158.00084363851633,71736.90907837567,19209814.309199378
37.3152147741588,68.44613890205798,196.0059142372447,229.97422528988304,379892.1618144123,58003175.92152626
13.693467620982329,74.91647702566672,131.7440230078218,191.7061933130629,160884.00503393682,18735313.941228822
48.96592419745945,11.988469593640826,136.53610261362695,223.26403068334253,115001.46206531249,22441475.29501552
78.14571458916213,47.103926332409394,42.212226615391565,134.94354354718507,56647.858770706844,6.595099384412107
88.21473117826172,91.15807146563948,144.79589185577998,32.362670309013396,318067.7391609325,13551811.293004146
19.207032068560036,41.17728199880118,127.25858866817197,169.49727253578178,94048.95376299496,15960330.327830113
38.63714956767547,9.760855668724304,47.26916815438622,222.08368585688788,28158.772294773633,705324.252576782
35.05371238181102,11.909225801076657,13.106698377430122,25.80805810356535,2324.9443279455863,2.559502818794915
69.42099132782035,81.7185705386811,70.26023635020928,85.31382247205748,92022.00760017463,1479933.4630836057
43.92452852662029,72.96967182791985,67.74385454218631,109.99035479889245,62781.77988137114,1592052.13610221
12.888462604797462,20.071435419761894,148.19605576484332,211.26555780407782,67028.83719944122,26913676.41537551
84.9335898606522,70.96464842455829,135.5761450902313,37.98194980827388,241365.80757021217,11335792.472332546
16.168758318963597,23.27221157078102,129.7287130305935,93.37568583010027,53425.5187236581,12786196.566618262
86.78459582526227,78.7590013413014,51.602409345384466,170.01440501190763,99253.68705805957,701828.1353854928
88.25907572497816,36.06611921042915,55.73842759104243,160.66559659541616,91924.5915546731,997495.1701011235
8.61161172672199,44.23702422595108,112.57176160536255,44.37796957320193,64465.314764656265,6446294.029468801
32.78953715754671,9.86364876163077,196.41649425019799,127.44895269675001,93302.35418139474,45892062.24993059
4.276107918466165,5.060199573830493,124.72666156052362,119.39878948351365,11139.715960952524,12667048.191616662
4.168455127421357,72.91472870367512,58.01865579491712,120.8888601792211,28495.495838647275,800490.0289738135
91.1216420110238,63.34241366011267,86.65392887811676,85.30102436741413,143086.34364096084,3441796.2749352325
89.940269168064,5.255610583626463,97.9934126034251,149.27461225868788,133017.48823769184,7148951.216188094
79.00521984107561,58.27084197383776,69.21282535445611,21.29362862928327,70526.52838751159,413293.3524838635
63.49640342420855,81.61069782699232,60.92615461033576,160.61485961940275,84433.04413194068,1524357.3940548184
53.684423286179594,56.49237576371508,164.7658931083392,117.2084314666724,250979.37674759614,27436986.27554093
27.03959561697572,61.9151057567292,28.136043154071984,15.28618355559128,7633.64942863588,4.751056515436565
69.17313865245431,79.53653562026632,38.98384381832357,184.50905179209315,58066.067561811535,8.188205944279549
37.13683548448862,11.74854255229355,166.74349486088167,116.62452345684005,84732.74832511626,28310172.42865555
70.40247809069425,8.357212729957604,89.19592603123888,175.66614380876834,94256.80686849277,6067156.48728115
29.383190314257742,9.099083824044738,162.06787593268757,72.72574291896116,50886.724430456416,22536267.740972057
95.29253836580811,8.022567345473597,23.512567365373997,239.8419358328186,64547.63792256432,5.759397557182615
12.922534209245736,68.24335786901418,163.37708240326742,53.719809848200626,208400.41071701216,21475491.165537924
6.718985959840648,36.84822861659987,46.009675349923796,41.54423256957901,9424.730523901655,1.873567697161727
53.20112767069344,8.029285318420088,156.58663347322695,239.467766431657,141515.19978733023,33232641.754796058
68.2143060000963,23.418638707416168,32.55978290409574,134.0708569655935,33592.2007435245,4.748475861045879
52.15982442169361,83.28590711383455,173.99741172299196,143.59549635440655,371059.4603857665,34427325.22355955
71.55907972928414,10.03132444710016,113.43887396894702,231.0110487335561,148083.6617078723,14157821.077520354
68.77338761536453,92.26938451331431,47.41058816463131,96.76781316812269,58486.79768832865,8.695178637332033
73.24782062698908,11.031770034099397,175.84706900522875,126.62192708936728,181999.31813856467,33781547.76615034
7.192032742443856,14.89883524058168,40.659863426398665,36.20844990280115,3333.110530150065,0.5496049029121568
29.003059972750624,5.794239651257727,74.59519724065075,204.93003091444817,27948.769008853495,4025112.4434129423
37.035221436105594,85.88930257302002,23.922483107248183,29.686427377579136,9532.389170781542,6.9975755871869625
23.288358286519394,65.3960439592465,76.57200367478785,218.07991343074198,61859.99469967901,4601647.412274408
3.7351948175055645,32.465061402782716,40.37481931656385,146.04946361795,6793.549173167071,1.6148242237199808
30.147560725520417,46.712458133983965,169.6468936125545,140.73008399792755,191583.91657708285,31879702.77339005
22.219035573627014,10.33970545350784,176.2405346939781,117.0153683130225,59478.43475686038,33052480.530625194
53.72747990277635,46.63925335985379,117.64436218929208,53.68783256672516,114079.85714047957,7858640.011321235
