inner radius,outer radius,thickness of the disc,actuating force,number of friction surfaces,mass of the brake,stopping time,number of friction surfaces,outer radius,actuating force
68.72847588014982,92.88382425976422,1.6708535274262415,741.2268273665209,6.960740218175951,1.2786761333486507,6.722333173772896,7.0,92.88382425976422,741.2268273665209
65.83464986896273,105.9550100607911,2.238398077353531,759.6805129591712,7.690058820274124,3.4024061309020674,5.357637118936328,8.0,105.9550100607911,759.6805129591712
59.17734161860136,83.80566992117807,1.7642319854021653,350.8333579329108,4.741273033946093,0.9134205783835382,21.709996009692524,5.0,83.80566992117807,350.8333579329108
57.556770011170435,108.74923825160778,1.5059507968679142,993.747891110876,3.0185267014709156,1.2566931807314048,11.002951417530408,3.0,108.74923825160778,993.747891110876
79.94389851404623,105.10138310001533,2.152963784508807,578.4312571689063,8.223701645563843,2.210390168871428,6.593209072557718,8.0,105.10138310001533,578.4312571689063
68.22063693470965,87.0392697986826,2.302300138662954,944.233611970247,9.511331010269394,1.813203258055536,3.877999150619163,10.0,87.0392697986826,944.233611970247
77.74942802301388,86.30409373015391,2.946897504405271,315.2406601275454,6.447457932932024,0.7094081073384323,17.85479308399259,6.0,86.30409373015391,315.2406601275454
55.78811492630916,84.9153522645431,1.522034393872717,730.1296030540848,8.27471839328647,1.3756740505521339,6.811290830751069,8.0,84.9153522645431,730.1296030540848
56.37744650738134,95.67823549654129,2.3645372252836676,908.1022452272877,4.8204285909664515,2.077522825444053,8.024117647916169,5.0,95.67823549654129,908.1022452272877
69.7105014004469,77.86471705388696,1.5505477581781384,922.0308448138777,4.703152754186723,0.2743320197430771,8.3106491881851,5.0,77.86471705388696,922.0308448138777
63.88463224096149,108.34119447457293,1.6596398580400977,740.3940768610346,7.306055168543687,2.491050162676496,6.230420169760182,7.0,108.34119447457293,740.3940768610346
70.72912435006403,109.18129780176969,2.8153424209336957,368.46284716109034,4.638324835578355,2.8635460083781146,16.52686321270872,5.0,109.18129780176969,368.46284716109034
61.252507223840695,82.48856409235788,2.861413153520619,308.83414928576235,8.44049537865887,1.9262928431661277,15.57819587932036,8.0,82.48856409235788,308.83414928576235
55.358974787949755,81.88172569205258,2.1553224227670977,569.2816479177784,7.828169938015441,1.7302175962799333,8.932220495129998,8.0,81.88172569205258,569.2816479177784
